sensor#1,01-26-2014,15.3
sensor#1,01-27-2014,20.4
sensor#1,01-28-2014,21.3
sensor#1,01-29-2014,14.2
sensor#1,01-30-2014,15.3
sensor#1,01-31-2014,11.1
sensor#1,02-01-2014,10.5
sensor#1,02-02-2014,15.6
sensor#1,02-03-2014,5.1
sensor#1,02-04-2014,23.5
sensor#1,02-05-2014,14.2
sensor#1,02-06-2014,14.3
sensor#2,01-26-2014,25.3
sensor#2,01-27-2014,25.2
sensor#2,01-28-2014,25.1
sensor#2,01-29-2014,15.1
sensor#2,01-30-2014,25.4
sensor#2,01-31-2014,15.5
sensor#2,02-01-2014,5.2
sensor#2,02-02-2014,20.1
sensor#2,02-03-2014,21.5
sensor#2,02-04-2014,15.3
sensor#2,02-05-2014,16.6
sensor#2,02-06-2014,18.3
